2020-09-30 | 11:55:55.340 | [] |  INFO | LocalFileService               | (   102) | Try to get all files
2020-09-30 | 12:40:15.771 | [] |  INFO | StorageAppApplication          | (    55) | Starting StorageAppApplication on DESKTOP-UL9U8E0 with PID 17044 (D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app\target\classes started by Admin in D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app)
2020-09-30 | 12:40:15.773 | [] |  INFO | StorageAppApplication          | (   651) | No active profile set, falling back to default profiles: default
2020-09-30 | 12:40:15.804 | [] |  INFO | DevToolsPropertyDefaultsPostProcessor | (   225) | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-09-30 | 12:40:15.805 | [] |  INFO | DevToolsPropertyDefaultsPostProcessor | (   225) | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-09-30 | 12:40:16.252 | [] |  INFO | TomcatWebServer                | (   108) | Tomcat initialized with port(s): 8080 (http)
2020-09-30 | 12:40:16.261 | [] |  INFO | StandardService                | (   173) | Starting service [Tomcat]
2020-09-30 | 12:40:16.261 | [] |  INFO | StandardEngine                 | (   173) | Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-09-30 | 12:40:16.313 | [] |  INFO | [/api/v1]                      | (   173) | Initializing Spring embedded WebApplicationContext
2020-09-30 | 12:40:16.314 | [] |  INFO | ServletWebServerApplicationContext | (   285) | Root WebApplicationContext: initialization completed in 509 ms
2020-09-30 | 12:40:16.408 | [] |  INFO | ThreadPoolTaskExecutor         | (   181) | Initializing ExecutorService 'applicationTaskExecutor'
2020-09-30 | 12:40:16.483 | [] |  INFO | OptionalLiveReloadServer       | (    58) | LiveReload server is running on port 35729
2020-09-30 | 12:40:16.504 | [] |  INFO | TomcatWebServer                | (   220) | Tomcat started on port(s): 8080 (http) with context path '/api/v1'
2020-09-30 | 12:40:16.511 | [] |  INFO | StorageAppApplication          | (    61) | Started StorageAppApplication in 0.917 seconds (JVM running for 1.312)
2020-09-30 | 12:40:19.386 | [] |  INFO | [/api/v1]                      | (   173) | Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-30 | 12:40:19.387 | [] |  INFO | DispatcherServlet              | (   525) | Initializing Servlet 'dispatcherServlet'
2020-09-30 | 12:40:19.390 | [] |  INFO | DispatcherServlet              | (   547) | Completed initialization in 3 ms
2020-09-30 | 12:40:19.399 | [] |  INFO | LocalFileService               | (   103) | Try to get all files
2020-09-30 | 12:42:00.100 | [] |  INFO | StorageAppApplication          | (    55) | Starting StorageAppApplication on DESKTOP-UL9U8E0 with PID 9404 (D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app\target\classes started by Admin in D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app)
2020-09-30 | 12:42:00.103 | [] |  INFO | StorageAppApplication          | (   651) | No active profile set, falling back to default profiles: default
2020-09-30 | 12:42:00.131 | [] |  INFO | DevToolsPropertyDefaultsPostProcessor | (   225) | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-09-30 | 12:42:00.132 | [] |  INFO | DevToolsPropertyDefaultsPostProcessor | (   225) | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-09-30 | 12:42:00.639 | [] |  INFO | TomcatWebServer                | (   108) | Tomcat initialized with port(s): 8080 (http)
2020-09-30 | 12:42:00.648 | [] |  INFO | StandardService                | (   173) | Starting service [Tomcat]
2020-09-30 | 12:42:00.649 | [] |  INFO | StandardEngine                 | (   173) | Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-09-30 | 12:42:00.701 | [] |  INFO | [/api/v1]                      | (   173) | Initializing Spring embedded WebApplicationContext
2020-09-30 | 12:42:00.702 | [] |  INFO | ServletWebServerApplicationContext | (   285) | Root WebApplicationContext: initialization completed in 570 ms
2020-09-30 | 12:42:00.791 | [] |  INFO | ThreadPoolTaskExecutor         | (   181) | Initializing ExecutorService 'applicationTaskExecutor'
2020-09-30 | 12:42:00.863 | [] |  INFO | OptionalLiveReloadServer       | (    58) | LiveReload server is running on port 35729
2020-09-30 | 12:42:00.886 | [] |  INFO | TomcatWebServer                | (   220) | Tomcat started on port(s): 8080 (http) with context path '/api/v1'
2020-09-30 | 12:42:00.893 | [] |  INFO | StorageAppApplication          | (    61) | Started StorageAppApplication in 0.968 seconds (JVM running for 1.339)
2020-09-30 | 12:42:34.067 | [] |  INFO | [/api/v1]                      | (   173) | Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-30 | 12:42:34.068 | [] |  INFO | DispatcherServlet              | (   525) | Initializing Servlet 'dispatcherServlet'
2020-09-30 | 12:42:34.071 | [] |  INFO | DispatcherServlet              | (   547) | Completed initialization in 3 ms
2020-09-30 | 12:42:39.517 | [] |  INFO | LocalFileService               | (   103) | Try to get all files
2020-09-30 | 14:05:54.657 | [] |  INFO | StorageAppApplication          | (    55) | Starting StorageAppApplication on DESKTOP-UL9U8E0 with PID 10764 (D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app\target\classes started by Admin in D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app)
2020-09-30 | 14:05:54.660 | [] |  INFO | StorageAppApplication          | (   651) | No active profile set, falling back to default profiles: default
2020-09-30 | 14:05:54.697 | [] |  INFO | DevToolsPropertyDefaultsPostProcessor | (   225) | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-09-30 | 14:05:54.698 | [] |  INFO | DevToolsPropertyDefaultsPostProcessor | (   225) | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-09-30 | 14:05:54.921 | [] |  INFO | ThreadPoolTaskExecutor         | (   218) | Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-30 | 14:05:54.960 | [] |  INFO | StorageAppApplication          | (    55) | Starting StorageAppApplication on DESKTOP-UL9U8E0 with PID 9404 (D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app\target\classes started by Admin in D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app)
2020-09-30 | 14:05:54.961 | [] |  INFO | StorageAppApplication          | (   651) | No active profile set, falling back to default profiles: default
2020-09-30 | 14:05:55.074 | [] |  INFO | TomcatWebServer                | (   108) | Tomcat initialized with port(s): 8080 (http)
2020-09-30 | 14:05:55.075 | [] |  INFO | StandardService                | (   173) | Starting service [Tomcat]
2020-09-30 | 14:05:55.075 | [] |  INFO | StandardEngine                 | (   173) | Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-09-30 | 14:05:55.089 | [] |  INFO | [/api/v1]                      | (   173) | Initializing Spring embedded WebApplicationContext
2020-09-30 | 14:05:55.090 | [] |  INFO | ServletWebServerApplicationContext | (   285) | Root WebApplicationContext: initialization completed in 128 ms
